tweets,processed_text,sentiment,predicted_sentiment,prediction_probability,top_topics,dataset
"had android chargers for years &amp; they're still top tier. please keep up, @apple.","had android charger for year theyr still top tier. pleas keep up, .",-1.0,-1.0,0.8900836,"Topic 3, Topic 6",train
@sprint refuses to unlock my out of contract iphone 5. they sent me to @apple knowing that they can't unlock phones. wafwoft,refus to unlock my out of contract iphon . they sent me to know that they cant unlock phones. wafwoft,-1.0,-1.0,0.6596501,"Topic 2, Topic 1",train
@iahhc @mcmillen1 @oithelpdesk @cmb1974 what is your favorite new @apple #iphone5c color? mine is #pink #applepicking @sprint,what is your favorit new color? mine is,0.0,0.0,0.8124224,"Topic 5, Topic 4",train
".@apple vp marketing: be quiet, photogs, and let #iphone do #photography for you.   condescension, anyone?",". vp market be quiet, photogs, and let do for you. condescension, anyone?",0.0,0.0,0.7959852,"Topic 2, Topic 5",train
the ui of the future: three takeaways from @apple pioneer bill fernandez @zdnet @jasonhiner ,the ui of the futur three takeaway from pioneer bill fernandez,0.0,0.0,0.8412394,"Topic 2, Topic 3",train
late apple inc. co-founder steve jobs 'testifies' in itunes case  #aapl,lateinc. cofound steve job testifi in itun case,0.0,0.0,0.9528382,"Topic 4, Topic 2",train
@apple some police dept in florida could use some #applecare assistance. #zimmerman,some polic dept in florida could use some assistance.,0.0,0.0,0.7946133,"Topic 6, Topic 4",train
@apple @tmobile @tim_cook @johnlegere there is an issue with apple and t-mobile and calls on lte dealing with both companies for weeks now,there is an issu withand tmobil and call on lte deal with both compani for week now,0.0,0.0,0.82500494,"Topic 5, Topic 6",train
@ohaiigloria @hahahamark @apple explain yourselves,explain yourselv,-1.0,0.0,0.778201,"Topic 5, Topic 1",train
@guardiansustbiz @cdp @apple our data addictions mean huge carbon emission.,our data addict mean huge carbon emission.,0.0,0.0,0.72595084,"Topic 4, Topic 6",train
(via fc) apple is warming up to social media - apple is hiring a social media guru in l.a. will @apple finally twe... ,via fci warm up to social media is hire a social media guru in l.a. will final twe...,0.0,0.0,0.90887135,"Topic 6, Topic 4",train
so @apple just gave me a huge middle finger to the face,so just gave me a huge middl finger to the face,-1.0,-1.0,0.5558671,"Topic 6, Topic 2",train
rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,justic depament cite th centuri feder law to get to unlock iphon,0.0,0.0,0.8318121,"Topic 4, Topic 1",train
here's why #apple shares will reach $135: analyst #aapl ,here whi share will reach analyst,1.0,0.0,0.5688803,"Topic 6, Topic 4",train
rt @mmlxiv: there is no avocado emoji may i ask why @apple,there is no avocado emoji may i ask whi,0.0,0.0,0.6738966,"Topic 5, Topic 6",train
#gorgeous lighting @apple #grandcentralstation ,light,0.0,0.0,0.778201,"Topic 5, Topic 6",train
options outlook amid heavy week of economic events  #aapl #goog #googl #tsla #wmt #premarket #markets,option outlook amid heavi week of econom event,0.0,0.0,0.7691797,"Topic 5, Topic 3",train
@apple really need to up their battery game. because ain't no one got time to charge their phones #furstrated #annoyed #charging,realli need to up their batteri game. becaus aint no one got time to charg their phone,-1.0,-1.0,0.99019825,"Topic 5, Topic 4",train
okay so now the sound to my phone is messed up..i really think you're doing this on purpose @apple,okay so now the sound to my phone is mess up..i realli think your do thi on purpos,-1.0,-1.0,0.86643875,"Topic 4, Topic 5",train
"rt @adage: watch the weekend's new tv ads from @radioshack, @apple and more ","watch the weekend new tv ad from , and more",0.0,0.0,0.9122929,"Topic 1, Topic 4",train
"rt @onerepublic: studio at 45,000 ft.  one outlet,  4 computers.  @apple we need the batteries of the future now!!!! ","studio at , ft. one outlet, computers. we need the batteri of the futur now!!!!",0.0,0.0,0.79342747,"Topic 5, Topic 3",train
the stage is set at @apple #cwb for @edwardkb @lielaineyl @cc_nimbu @jethromullen vivien liu #instasavvy ,the stage is set at for vivien liu,0.0,0.0,0.79731345,"Topic 5, Topic 2",train
"hey @apple, my iphone 6 was fully charged at 7:30 am. now it's on 20%. is that a common battery life?","hey , my iphon wa fulli charg at am. now it on . is that a common batteri life?",-1.0,-1.0,0.90779376,"Topic 3, Topic 4",train
. @apple patents drop-proof mechanism. breaks laws of physics with anti-gravity.  via @tomshardware #getagoodcase,. patent dropproof mechanism. break law of physic with antigravity. via,0.0,0.0,0.8913004,"Topic 3, Topic 4",train
@tech_faq @peterjmsimons in the end it is  @apple laughing all the way to the bank.,in the end it is laugh all the way to the bank.,0.0,0.0,0.778201,"Topic 5, Topic 2",train
@vada_ydg @apple can u make a middle finger emoji,can u make a middl finger emoji,0.0,0.0,0.71458733,"Topic 6, Topic 2",train
mobile companies really need to learn from @apple @oneplus they don't roll out phones left right &amp; center and yet have strong fan following,mobil compani realli need to learn from they dont roll out phone left right center and yet have strong fan follow,1.0,1.0,0.38056913,"Topic 4, Topic 5",train
"rt @jamisonfoser hi @apple please kill itunes with fire and start over,","hi pleas kill itun with fire and staover,",0.0,0.0,0.7294265,"Topic 6, Topic 5",train
cnbctv:  bulls running with #gopro &amp; #apple #gpro #aapl  ,cnbctv bull run with,0.0,0.0,0.778201,"Topic 4, Topic 5",train
@the_hiit_coach we'll use it. but we know that feeling only too well of waiting for your app to be approved by @apple #likewatchingpaintdry,well use it. but we know that feel onli too well of wait for your app to be approv by,0.0,0.0,0.80814135,"Topic 5, Topic 4",train
photo: yaaass. shoutout to @apple.holidays and to @stevejobs for being amazing! #iphone #stevejobs... ,photo yaaass. shoutout to .holiday and to for be amazing! ...,1.0,1.0,0.92296183,"Topic 2, Topic 1",train
rt @ecofantasy: thinking of upgrading to #yosemite? think twice   it's not for everyone. rt #asmsg @apple,think of upgrad to ? think twice it not for everyone.,-1.0,-1.0,0.7420724,"Topic 4, Topic 1",train
"nothing short of a disgrace @apple @facebook @amazon refuse 2 divulge carbon emissions data to global ngo cdp, ","noth shoof a disgrac refus divulg carbon emiss data to global ngo cdp,",-1.0,-1.0,0.837483,"Topic 4, Topic 6",train
@apple - what if i don't want my money going to africa to fight aids?  we have problems here we need to fight.  #apple #africa @cnn #cnn,what if i dont want my money go to africa to fight aids? we have problem here we need to fight.,-1.0,-1.0,0.6549976,"Topic 1, Topic 2",train
apple intraday comments - last update - premium users  #aapl #stockaction #trading #stocks #mkt ,intraday comment last updat premium user,0.0,0.0,0.97522926,"Topic 1, Topic 4",train
@mishi_za @natz0711 @samsungsa perfect time to move to @apple they don't seem to care about you,perfect time to move to they dont seem to care about you,0.0,0.0,0.75542295,"Topic 1, Topic 3",train
this will be the 5th charger i have to buy @apple smmfh,thi will be the th charger i have to buy smmfh,-1.0,-1.0,0.7927819,"Topic 5, Topic 1",train
"#verr?cktes #ger?cht: #iphone6s zum @apple [#apple] watch. (#tuesday, 2 #december) ","?ckte ?cht zum watch. ,",0.0,0.0,0.88653874,"Topic 4, Topic 1",train
rt @jpdesloges: apple mass transit system for maps detailed in new patent $aapl #aapl ,mass transit system for map detail in new patent,0.0,0.0,0.92787594,"Topic 5, Topic 4",train
apple ipod lawsuit will reveal unseen steve jobs video $aapl #aapl ,ipod lawsuit will reveal unseen steve job video,0.0,0.0,0.8637398,"Topic 1, Topic 2",train
this happened to me several times!! fuck you @apple deleted rivals' music from ipods for years... @mailonline,thi happen to me sever times!! fuck you delet rival music from ipod for years...,-1.0,-1.0,0.9873219,"Topic 4, Topic 3",train
is it time to buy the dip in apple inc. stock?  #aapl,is it time to buy the dip ininc. stock?,0.0,0.0,0.83241343,"Topic 5, Topic 2",train
iphone 6 and 6 plus sales are growing steadily worldwide $aapl #aapl ,iphon and plu sale are grow steadili worldwid,0.0,0.0,0.7680454,"Topic 5, Topic 1",train
3 more #applewatch details exposed #aapl ,more detail expos,0.0,0.0,0.778201,"Topic 5, Topic 6",train
god dammit fuck you @apple,god dammit fuck you,-1.0,-1.0,0.96554583,"Topic 3, Topic 5",train
. @apple i don't think the '59' should be so close to the '00' when setting an alarm on an iphone. many times i have fallen victim to this.,. i dont think the should be so close to the when set an alarm on an iphone. mani time i have fallen victim to this.,-1.0,-1.0,0.7182837,"Topic 6, Topic 5",train
@samsung is way better than @apple,is way better than,-1.0,0.0,0.6872514,"Topic 2, Topic 5",train
"steve #wozniak on #apple, the computer revolution, and working with #stevejobs - businessweek #aapl ","steve on , the comput revolution, and work with businessweek",0.0,0.0,0.7897509,"Topic 2, Topic 1",train
rt @ppropp: our buddies @arccosgolf are at eye level in the @apple store #startups @ctnext @stamfordicenter #nice ,our buddi are at eye level in the store,0.0,0.0,0.77511424,"Topic 1, Topic 6",train
"it's sunday night, wanna watch #comet online? if you're an @apple person then just head on over to @itunes. ","it sunday night, wanna watch online? if your an person then just head on over to .",0.0,0.0,0.8635536,"Topic 1, Topic 5",train
daring fireball: transmit ios and icloud drive @apple ,dare firebal transmit io and icloud drive,0.0,0.0,0.8076102,"Topic 6, Topic 3",train
"in case of accident, have you downloaded our free @apple app yet #winnipeg ","in case of accident, have you download our free app yet",0.0,0.0,0.9205953,"Topic 4, Topic 3",train
@swerviinnn @apple maybe stop being a whore for once and sleep,mayb stop be a whore for onc and sleep,-1.0,-1.0,0.64273524,"Topic 4, Topic 3",train
"@viticci when is @dropbox removing photo upload? and are @apple covering refund for those who purchased based on features, that are no more?","when is remov photo upload? and are cover refund for those who purchas base on features, that are no more?",-1.0,0.0,0.5325918,"Topic 4, Topic 1",train
"#aapl market cap passes $700 billion, tablet sales slump and more  ","market cap pass billion, tablet sale slump and more",0.0,0.0,0.7757803,"Topic 6, Topic 5",train
why i hate apple -  #aapl #long-term_larry,whi i hate termlarri,-1.0,-1.0,0.9181277,"Topic 6, Topic 3",train
@apple sets its own timetable (rather than chasing the #competition) by focusing on #customerexperience   #cx #cem,set it own timet rather than chase the by focus on,0.0,0.0,0.79731345,"Topic 2, Topic 5",train
view count of @mileycyrus' wrecking ball (09/09 release): 86m   view count of @apple's 09/10 keynote: 320k    source: @youtube  mindblown.gif,view count of wreck ball releas m view count of s keynot k sourc mindblown.gif,0.0,0.0,0.8170377,"Topic 2, Topic 6",train
"@apple hi! a few days ago i purchase 2 ringtones and non of them appear on my phone or purchased, but they appear in my credit card","hi! a few day ago i purchas rington and non of them appear on my phone or purchased, but they appear in my credit card",-1.0,-1.0,0.753194,"Topic 1, Topic 5",train
comparison between @apple maps and @google maps:  #longreads #webdesign,comparison between map and map,0.0,0.0,0.8665575,"Topic 6, Topic 4",train
"@highlyhightori @apple nah they didn't lie,they don't want you using it... it's a word tho","nah they didnt lie,they dont want you use it... it a word tho",0.0,0.0,0.63938546,"Topic 3, Topic 2",train
@riveraoor good ol terrible @apple,good ol terribl,-1.0,0.0,0.44530532,"Topic 1, Topic 3",train
i hate my macbook now. fuck this update and fuck you @apple,i hate my macbook now. fuck thi updat and fuck you,-1.0,-1.0,0.99919814,"Topic 1, Topic 3",train
iphone shortages not helping radioshack as consumer sales plummet  #aapl,iphon shoag not help radioshack as consum sale plummet,-1.0,0.0,0.6509367,"Topic 4, Topic 6",train
now you know steve can't answer u back rt @ouukillem: my phones acting wtf is your problem @apple @stevejobs,now you know steve cant answer u back my phone act wtf is your problem,-1.0,-1.0,0.99814045,"Topic 2, Topic 5",train
apple - fibonacci technicals levels - intraday  update - $aapl #aapl  ,fibonacci technic level intraday updat,0.0,0.0,0.9816999,"Topic 4, Topic 1",train
"#robots #fabricando #iphone, #ipad pro, @apple [#apple] watch, apple tv y el #.... (#sunday, 7 #december) ",", pro, watch,tv y el .... ,",0.0,0.0,0.8583324,"Topic 4, Topic 1",train
rt @_iamgambino: thank you @apple,thank you,1.0,1.0,0.77923906,"Topic 5, Topic 4",train
crystal baller: rebirth of the 4-inch iphone and other insane apple rumors $aapl #aapl ,crystal baller rebih of the inch iphon and other insanerumor,0.0,0.0,0.8606424,"Topic 1, Topic 2",train
just checked out the specs on the new ios 7...wow is all i have to say! i can't wait to get the new update ?? bravo @apple,just check out the spec on the new io ...wow is all i have to say! i cant wait to get the new updat ?? bravo,1.0,0.0,0.44656825,"Topic 5, Topic 4",train
@apple why is the 5s $199 in the us & $719 in canada .. ?,whi is the s in the us in canada .. ?,0.0,0.0,0.6797777,"Topic 3, Topic 6",train
rt @dmcgroarty: rt @metalbanker - where do #iphones come from? what's in your @apple  #rareearths ,where do come from? what in your,0.0,0.0,0.81204313,"Topic 5, Topic 4",train
"apple's iphone gained significant share in the us, japan, germany and great britain $aapl #aapl ","s iphon gain signific share in the us, japan, germani and great britain",1.0,1.0,0.7272879,"Topic 1, Topic 4",train
#aapl:did carl icahn cause the private equity bubble?...,did carl icahn caus the privat equiti bubble?...,0.0,0.0,0.75254065,"Topic 3, Topic 4",train
wells fargo continues promoting apple pay with new advertisement  #aapl,well fargo continu promotingpay with new adveis,0.0,0.0,0.82950467,"Topic 5, Topic 2",train
#aapl:steve jobs emails featured in apple ipod u.s. antitrust trial...,steve job email featur inipod u.s. antitrust trial...,-1.0,0.0,0.83686155,"Topic 4, Topic 2",train
even #microsoft agrees #iphone6 is mind blowing. #aapl #design #product #innovation #mobile ,even agre is mind blowing.,1.0,0.0,0.778201,"Topic 3, Topic 2",train
rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: ,justic depament cite th centuri feder law to get to unlock iphon,0.0,0.0,0.8318121,"Topic 4, Topic 1",train
day 12 without access to my @itunes passwd. apple 'working on it'. no new apps or calendar. @apple ecosystem has achilles? your move @google,day without access to my passwd.work on it. no new app or calendar. ecosystem ha achilles? your move,-1.0,-1.0,0.53613675,"Topic 4, Topic 5",train
rt @horseshoebmore #holiday #giveaway! to ensure you stay in touch on the go ck out brands like @apple @amazon ,! to ensur you stay in touch on the go ck out brand like,0.0,0.0,0.90202916,"Topic 5, Topic 1",train
@apple make a fucking phone so the screen doesn't break.  i want my phone to be naked and free.,make a fuck phone so the screen doesnt break. i want my phone to be nake and free.,-1.0,-1.0,0.999426,"Topic 5, Topic 3",train
apple - fibonacci technicals levels - intraday  update - $aapl #aapl  ,fibonacci technic level intraday updat,0.0,0.0,0.9816999,"Topic 4, Topic 1",train
"rt @brandfuel: so, which #promoproduct suppliers carry brandable @apple compliant adapters? #headsaregoingtoroll #mfi","so, which supplier carri brandabl compliant adapters?",0.0,0.0,0.8788252,"Topic 1, Topic 2",train
"rt @ilovemymom98: i've tried turning it off and on, what's my problem here? @apple ","ive tri turn it off and on, what my problem here?",-1.0,-1.0,0.6890296,"Topic 5, Topic 1",train
"#aapl:apple inc., international business machines corp., exxon mobil corpora...","inc., intern busi machin corp., exxon mobil corpora...",0.0,0.0,0.7573073,"Topic 1, Topic 4",train
every time i change keyboards this come up. like wtf @apple get your shit together ,everi time i chang keyboard thi come up. like wtf get your shit togeth,-1.0,-1.0,0.9987795,"Topic 4, Topic 5",train
why does my battery die so quick @apple,whi doe my batteri die so quick,-1.0,-1.0,0.9717225,"Topic 5, Topic 3",train
details of the apple inc. ipad mini 4 revealed  #aapl,detail of theinc. ipad mini reveal,0.0,0.0,0.9117729,"Topic 4, Topic 2",train
#apple earns more #profit in on quarter than #amazon has earned in its lifetime. @amazon @apple @wowfactz @dessytech ,earn more in on quaer than ha earn in it lifetime.,1.0,1.0,0.72386146,"Topic 6, Topic 3",train
i hate it that my office email's not pushing emails now. it's fetching but on my settings it says push. #appleprobs #appleproblems @apple,i hate it that my offic email not push email now. it fetch but on my set it say push.,-1.0,-1.0,0.91123265,"Topic 4, Topic 2",train
hope @apple &amp; #ios will allow compact views for 3rd party keyboards like #swiftkey and #swype do on #android.,hope will allow compact view for rd pay keyboard like and do on .,0.0,0.0,0.7013166,"Topic 4, Topic 6",train
"lol rt @thepartycow: well, well. @motorola using @twitter to fire back @apple. in other news go @adambain!!! pic.twitter.com/nnk3vwqalu","lol well, well. use to fire back . in other news go !!! pic.twitter.comnnkvwqalu",0.0,0.0,0.7984481,"Topic 3, Topic 2",train
.@apple use this 4 ur next ad #funconvo ,. use thi ur next ad,0.0,0.0,0.7465603,"Topic 5, Topic 4",train
#wearabledevices to #consumers : you're putting me on -  #ibdnews via @ibdinvestors  #aapl #nke #grmn #amba #invn,to your put me on via,0.0,0.0,0.778201,"Topic 5, Topic 6",train
.@dell ordering a laptop today. how about i try @apple or @lenovo instead. maybe their reps will be kind instead of this behavior.,. order a laptop today. how about i tri or instead. mayb their rep will be kind instead of thi behavior.,1.0,1.0,0.47331077,"Topic 1, Topic 4",train
.@apple patents new tech that shifts #iphone's center of gravity during falls so it lands with minimal damages. ,. patent new tech that shift s center of graviti dure fall so it land with minim damages.,0.0,0.0,0.8714811,"Topic 6, Topic 4",train
lol fuck you. i'm still not buying a new one. @apple ,lol fuck you. im still not buy a new one.,-1.0,-1.0,0.985038,"Topic 3, Topic 5",train
over 1 hour on hold with @apple customer service trying to figure their messup o ,over hour on hold with custom servic tri to figur their messup o,-1.0,-1.0,0.8486098,"Topic 5, Topic 1",train
"finally updated #iphone to ios 8 something, thanks @apple for more shit we don't need. #seriously, thanks a trillion. ","final updat to io something, thank for more shit we dont need. , thank a trillion.",-1.0,-1.0,0.9688035,"Topic 6, Topic 4",train
"#mkt final #aapl #putcallratios for tuesday, december 2, 2014:  ","final for tuesday, decemb ,",0.0,0.0,0.94595873,"Topic 2, Topic 6",train
dear apple this is the worse service ever @apple ,dearthi is the wors servic ever,-1.0,-1.0,0.68474877,"Topic 1, Topic 6",train
"well, @nokia's surprise tomorrow couldn't possibly be a gold case because, surely, @apple holds a patent on that colour now. #winphan","well, s surpris tomorrow couldnt possibl be a gold case because, surely, hold a patent on that colour now.",0.0,0.0,0.9197366,"Topic 5, Topic 1",train
#apple's success has made it part of the 'payola scheme': #apple inc. (nasdaq: #aapl) recently reached a new m... ,s success ha made it paof the payola scheme inc. nasdaq recent reach a new m...,0.0,0.0,0.726092,"Topic 3, Topic 4",train
how long is this @apple ios 8.1.1 update going to take?!,how long is thi io .. updat go to take?!,-1.0,0.0,0.5952465,"Topic 6, Topic 5",train
rt @jgreerthaatruth: done with this iphone 6 plus apple or sprint giving me my bread back. trash ass phone full of fuck ups @sprint @apple,done with thi iphon plusor sprint give me my bread back. trash ass phone full of fuck up,-1.0,-1.0,0.9509596,"Topic 5, Topic 3",train
@apple @timcook where is the freaking chaban delmas bridge mr cook ?!!!!! #maps pic.twitter.com/rko36pyt9v,where is the freak chaban delma bridg mr cook ?!!!!! pic.twitter.comrkopytv,-1.0,-1.0,0.7526299,"Topic 5, Topic 2",train
opening a new non-apple device reminds what an amazing job @apple does with out-of-box-experience. #pono #arrived #confused,open a new nondevic remind what an amaz job doe with outofboxexperience.,1.0,1.0,0.78404737,"Topic 2, Topic 4",train
@cynthialanel @twitter silicon valley as a whole needs to step up the same 2% @google @yahoo @facebook @apple ,silicon valley as a whole need to step up the same,0.0,0.0,0.82045513,"Topic 5, Topic 3",train
rt @shannonmmiller: love the @apple is supporting #hourofcode with workshops! :) ,love the is suppo with workshops!,1.0,1.0,0.92131984,"Topic 5, Topic 2",train
principled truths: eddy cue talks to fortune as apple appeals e-book price-fixing judgment. #aapl ,principl truth eddi cue talk to foun asapp ebook pricefix judgment.,0.0,0.0,0.83377296,"Topic 2, Topic 4",train
hey @panerabread how about you teach your people how to use @apple pay?,hey how about you teach your peopl how to use pay?,0.0,0.0,0.5914508,"Topic 5, Topic 6",train
"trade $aapl #free nightly updates are #posted here on #twitter, or you can visit the #trade #aapl free #website here ","trade nightli updat are here on , or you can visit the free here",0.0,0.0,0.9183645,"Topic 1, Topic 6",train
"@marxculture @appleuk_ @apple ugh, i'm no longer a dev, remember? i now wear a suit. oh wait, i don't like suits :) yeh i'll probly do it...","ugh, im no longer a dev, remember? i now wear a suit. oh wait, i dont like suit yeh ill probli do it...",0.0,0.0,0.820721,"Topic 5, Topic 1",train
macbook pro 13   non-retina first startup:  via @youtube @apple #macbook #macbookpro #startup #hipster,macbook pro nonretina first staup via,0.0,0.0,0.9039149,"Topic 2, Topic 1",train
"#iphone6c release date, #rumours and #leaked images: @apple [#apple] said to #be working .... (#friday, 5 #decem... ","releas date, and imag said to work .... , ...",0.0,0.0,0.7876919,"Topic 5, Topic 6",train
buy round lot on the open mt @wsjd #aapl stock briefly dove 6.4% today. analysts not sure why  ,buy round lot on the open mt stock briefli dove . today. analyst not sure whi,-1.0,-1.0,0.49193797,"Topic 6, Topic 4",train
@apple ischool?  #education @applenws,ischool?,0.0,0.0,0.778201,"Topic 5, Topic 6",train
rt @apple says the coremotion system on the iphone 5s will empower a new generation of health and fitness apps,say the coremot system on the iphon s will empow a new gener of health and fit app,1.0,0.0,0.5542667,"Topic 3, Topic 4",train
"really need tap-to-tweet back, @apple","realli need taptotweet back,",-1.0,0.0,0.65238225,"Topic 3, Topic 4",train
.@apple uses chinese labor and cheap materials to reduce price for iphone 5c. still won't cut profits to make it affordable in china. #irony,. use chines labor and cheap materi to reduc price for iphon c. still wont cut profit to make it afford in china.,-1.0,-1.0,0.8341348,"Topic 2, Topic 4",train
how @apple is improving mobile app security   #mobile #app,how is improv mobil app secur,0.0,0.0,0.79414874,"Topic 3, Topic 4",train
introducing the iphone 5s & iphone 5c (parody):   via @youtube @apple,introduc the iphon s iphon c parodi via,0.0,0.0,0.75417,"Topic 6, Topic 1",train
"wtf @apple, synching notes or icloud pages is unusable. it used to be easier.","wtf , synch note or icloud page is unusable. it use to be easier.",-1.0,-1.0,0.8609393,"Topic 4, Topic 5",train
yall chargers weak yall needa make iphone charger otterboxes for the cord @apple,yall charger weak yall needa make iphon charger otterbox for the cord,-1.0,-1.0,0.98377,"Topic 3, Topic 4",train
rt @laura_kate8: why do i have 5 group messages with the same people. @apple,whi do i have group messag with the same people.,-1.0,-1.0,0.569524,"Topic 6, Topic 1",train
"so, all the fingerprint information people accidentally stored in demo phones at @apple stores are basically free4all? #keynote #iphone5s","so, all the fingerprint inform peopl accident store in demo phone at store are basic freeall?",-1.0,-1.0,0.5014648,"Topic 3, Topic 5",train
"rt @bigblindz: blackberry wants your iphone, and will pay for it.   #bbry $bbry #blackberry #iphone $aapl #aapl","blackberri want your iphone, and will pay for it. bbri",0.0,0.0,0.7543889,"Topic 3, Topic 6",train
our @apple app is coming soon! still in production!  #hypedtunes,our app is come soon! still in production!,0.0,0.0,0.8227502,"Topic 6, Topic 4",train
 the amazon enigma  #aapl #amzn #baba #ecommerce #econsumerism #financial #news,the amazon enigma,0.0,0.0,0.778201,"Topic 1, Topic 3",train
#apple: market maker price range forecast update #aapl ,market maker price rang forecast updat,0.0,0.0,0.8269871,"Topic 1, Topic 2",train
lol tryna figure out why this file say its from 1984? @tim_cook @apple @stephaniekmbc ,lol tryna figur out whi thi file say it from ?,0.0,0.0,0.7095325,"Topic 1, Topic 3",train
"fucking goddamn stupid @apple @itunes , ur too fucked up! #justsayin #itunes","fuck goddamn stupid , ur too fuck up!",-1.0,-1.0,0.9990125,"Topic 4, Topic 3",train
@azakfeverafc @apple do you need intel. dm. jw.,do you need intel. dm. jw.,0.0,0.0,0.8479911,"Topic 6, Topic 3",train
"@jimmymujaj @apple it works again fucker, not being a hoe if it's only one person smd","it work again fucker, not be a hoe if it onli one person smd",-1.0,-1.0,0.558119,"Topic 1, Topic 5",train
rt @aaaron: insanely great news. @adroll teams up with @apple for iads programmatic launch ,insan great news. team up with for iad programmat launch,1.0,1.0,0.87823635,"Topic 5, Topic 2",train
i'm learning all about apple store at @influenster! @apple ,im learn all aboutstor at !,0.0,0.0,0.8032607,"Topic 6, Topic 5",train
rt @idsa: legendary @apple designer @susankare gives young designers 2 simple rules to follow.  via @fastcodesign,legendari design give young design simpl rule to follow. via,0.0,0.0,0.8115374,"Topic 5, Topic 3",train
 need help on using your #apple #iphone6 &amp; #iphone6plus ? #checkitout @applenws @apple ,need help on use your ?,0.0,0.0,0.8453698,"Topic 3, Topic 4",train
"new ha blog post &gt;&gt;&gt; final #aapl #putcallratios for wednesday, december 3, 2014:  ","new ha blog post gtgtgt final for wednesday, decemb ,",0.0,0.0,0.99180424,"Topic 4, Topic 6",train
"rt @onerepublic: studio at 45,000 ft.  one outlet,  4 computers.  @apple we need the batteries of the future now!!!! ","studio at , ft. one outlet, computers. we need the batteri of the futur now!!!!",0.0,0.0,0.79342747,"Topic 5, Topic 3",train
is apple inc. losing the $5 billion ed-tech market? $aapl #aapl ,isinc. lose the billion edtech market?,0.0,0.0,0.80839974,"Topic 5, Topic 2",train
@pr1nc355haybug no way. it's perfect in every way. @apple steps up their game every single update.,no way. it perfect in everi way. step up their game everi singl update.,0.0,0.0,0.778201,"Topic 5, Topic 3",train
@caseypieper @theweldingroom @apple @monster @redbull i heard monster was the hebrew devil. lol,i heard monster wa the hebrew devil. lol,0.0,0.0,0.80938363,"Topic 4, Topic 3",train
i had to do made the #switch from iphone 6 to the galaxy note edge. @apple keep up ,i had to do made the from iphon to the galaxi note edge. keep up,-1.0,0.0,0.58036757,"Topic 5, Topic 4",train
lmao oh my god why the fuck did it autocorrect it from 'gonna' to 'finna' ahahahah @apple u ghetto child ass youuu ,lmao oh my god whi the fuck did it autocorrect it from gonna to finna ahahahah u ghetto child ass youuu,-1.0,-1.0,0.9662765,"Topic 1, Topic 5",train
@apple descola a ios7 logo porra,descola a io logo porra,0.0,0.0,0.778201,"Topic 3, Topic 6",train
from beyond the grave! rt @gma: jurors set 2 hear fr star witness at @apple trial: steve jobs.  ,from beyond the grave! juror set hear fr star wit at trial steve jobs.,0.0,0.0,0.9109785,"Topic 4, Topic 2",train
"@apple btw, i love all of your products.  they rock!  your power cords are junk.  you seriously need to fix this!","btw, i love all of your products. they rock! your power cord are junk. you serious need to fix this!",1.0,1.0,0.6352483,"Topic 3, Topic 5",train
cnbctv:  #chromecast beats #appletv #aapl ,cnbctv beat,-1.0,-1.0,0.53353566,"Topic 4, Topic 6",train
@jakeflem @apple some info for you:    hope it helps. #pinkscreenofdeath,some info for you hope it helps.,0.0,0.0,0.66488874,"Topic 6, Topic 5",train
there is nothing in life more fragile than an apple branded lightning cord. @apple,there is noth in life more fragil than anbrand lightn cord.,-1.0,-1.0,0.9351049,"Topic 4, Topic 6",train
shipping estimates for 27-inch retina imac improve to 1 to 2 weeks [mac blog]  #aapl,ship estim for inch retina imac improv to to week mac blog,0.0,0.0,0.9774368,"Topic 6, Topic 1",train
to be honest i think iphone5c looks bit tacky @apple #apple #iphone5c,to be honest i think iphonec look bit tacki,-1.0,-1.0,0.47714776,"Topic 4, Topic 1",train
rt @weewiii: wtf @apple y'all shit be cheap. ,wtf yall shit be cheap.,-1.0,-1.0,0.9988985,"Topic 5, Topic 4",train
@onerepublic @apple that's what i was thinking today! after nearly two years mine only lasts for four hours now :(,that what i wa think today! after nearli two year mine onli last for four hour now,-1.0,-1.0,0.5936794,"Topic 4, Topic 1",train
i hate you @itunesmusic @apple,i hate you,-1.0,-1.0,0.8782884,"Topic 2, Topic 3",train
"i'm at @apple store, partridge creek (clinton township, mi) ","im at store, paridg creek clinton township, mi",0.0,0.0,0.7212865,"Topic 4, Topic 3",train
@twohat007 @apple  ppl will buy it bc lodes of ppl like it (i don't) but most of the ppl in the wold do so it will sell but don't know y,ppl will buy it bc lode of ppl like it i dont but most of the ppl in the wold do so it will sell but dont know y,0.0,0.0,0.78723615,"Topic 2, Topic 3",train
first @apple employee: the remarkable odyssey of bill fernandez via @techrepublic  ,first employe the remark odyssey of bill fernandez via,0.0,0.0,0.778201,"Topic 3, Topic 5",train
square launches ios app for food delivery service caviar [ios blog]  #aapl,squar launch io app for food deliveri servic caviar io blog,0.0,0.0,0.9072981,"Topic 1, Topic 6",train
cnbctv:  #iphone growth peaked? #aapl  ,cnbctv growth peaked?,0.0,0.0,0.778201,"Topic 5, Topic 4",train
just left the @apple store put @themixxradio on every app store and safari page i could. @ginianightly @the_hott_spot @themixxhangout,just left the store put on everi app store and safari page i could.,0.0,0.0,0.633694,"Topic 4, Topic 5",train
