labels,tweets
-1.0,@apple what english is this? what do you mean? 
0.0,apple macbook (å£949.86)  @office_nerd @apple #tech 
-1.0,can #ipad conquer the enterprise? only if @apple has the guts to license #ios: 
-1.0,@apple really need to up their battery game. because ain't no one got time to charge their phones #furstrated #annoyed #charging
-1.0,yea let me just pay 600 dollars for phone so it dies at 30% fix your shit @apple
-1.0,@fazenikan @apple wrong @ homie
-1.0,@fazenikan @apple haha switch to @android
0.0,@fazenikan @apple did u overheat it
0.0,rt @ryansconcepts: @fazenikan @apple wrong @ homie
-1.0,rt @fazenikan: yea let me just pay 600 dollars for phone so it dies at 30% fix your shit @apple
-1.0,@fazenikan @apple i had the same thing. bought an iphone 5 when it came out and had to replace the battery after a month or two.
0.0,"#rumors #surface for @apple [#apple] #iphone6s and #iphone7 in #2015. (#wednesday, 3 #december) "
-1.0,"@fazenikan @apple lol iphone,weak. get on that lumia level bruh"
1.0,great fcp x update from @apple today. that will do nicely! #video # editing
-1.0,rt @fazenikan: yea let me just pay 600 dollars for phone so it dies at 30% fix your shit @apple
0.0,great piece from @howardlake on @apple &amp; the new #red #app store - profits from exclusive content go to @globalfund: 
-1.0,still can't merge multiple apple-id's @apple #fail 
1.0,# dyslexic iphone 6 users rejoice! thanks to @apple and 'voice text' hard to spell words are a thing of the past! 
-1.0,@fazenikan @apple @applenws @appstore i know my iphone  dies at like 20%
-1.0,realised the reason @apple make huge phones is because they f**ked safari up by not allowing us to hide the address bar
-1.0,still can't merge multiple apple-id's @apple #fail 
0.0,intel and inevitability -  #aapl #intc #mchp
-1.0,why is there no black heart emoji @apple
0.0,steve jobs emails featured in apple ipod us antitrust trial  #aapl
0.0,"trade $aapl #free nightly updates are #posted here on #twitter, or you can visit the #trade #aapl free #website here "
0.0,the rumoured @oppo r8207 looks very similar to a certain @apple #iphone6 
0.0,the rumoured @oppo r8207 looks very similar to a certain @apple #iphone6 
0.0,@apple @appleios rolled out #webgl to #ios8 3 months ago and just overtook @google @android in webgl support levels.
0.0,rt @stuff_sg: the rumoured @oppo r8207 looks very similar to a certain @apple #iphone6 
0.0,oh my god. dont play with me. forreal. @apple
0.0,@apple tv fades away in #streaming video player market 
0.0,@apple patents active fall protection system that shifts #iphone in midair  #technology #fyi
0.0,#aapl:don't confuse morgan stanley decreasing apple's weighting by 1% with b...
1.0,rt @pyalot: @apple @appleios rolled out #webgl to #ios8 3 months ago and just overtook @google @android in webgl support levels.
0.0,@fazenikan @apple restart it or wait till next apple update happens to me
-1.0,". @apple diag and support suck a lot! it says 'cannot connect server, try again', then 'ticket not found' #disgusting "
0.0, @apple default search engine
0.0,gtat creditors want to question apple's jeff williams $aapl #aapl 
1.0,"brilliant tech! no more broken screens in #festivals, @apple via @techcrunch  "
0.0,update 2-steve jobs emails featured in apple ipod u.s. antitrust trial $aapl #aapl 
0.0,"'a lot of times, people don't know what they want, until you show it to them.' - steve jobs #aapl #apple"
-1.0,i've sent my computer out to @apple twice for repairs in the last month and each time it comes back with a new problem something isn't right
-1.0,why? why have you put gay stuff in my fucking iphone @apple 
0.0,"#rumors #surface for @@apple [#apple] #iphone6s and #iphone7 in #2015. (#wednesday, 3 #december) "
-1.0,.@apple why do your computers like to crash on dead week before finals?
-1.0,@sashametro its the iupdate process that is so incensing. what rubbish. hopefully @apple will be irrelevant again soon.
-1.0,@apple fix your apps.... if i click play it ain't playin'..... so it ain't really a play button is it?
-1.0,i'm going to press the play button!! wait no i'm not :( @apple fix your apps 
-1.0,it's just dawned on me that i've probably spent more on replacing frayed / non functioning iphone cables than i've spent on iphones @apple
-1.0,@mayhembcn iupdate is new since i needed a duns two years ago (web form + phone call) - ironic for an @apple req that it only supports ie8+
0.0,apple bears get fat payout from stock swoon; the 60-second plunge $aapl #aapl 
0.0,@gmoneyizme @apple how so true; making sales off their accessories!
-1.0,'@gmoneyizme: i've probably spent more on replacing non functioning iphone cables than i've spent on iphones @apple' - #switchtolumia
-1.0,l.a. school district halts ipad contract as fbi seizes documents $aapl #aapl 
0.0,"great coverage @epro of @comscore 's cyber monday data, but show me the top items by store, like this for @apple "
-1.0,@siri @apple @stevejobs @alarmthatdidntgooff this is disrespectful
1.0,apple's ios devices accounted for 78% of record setting cyber monday mobile sales $aapl #aapl 
0.0,@apple have patented an #iphone drop protection mechanism. is the is end of #crackedscreens?  
1.0,you're probably reading this on an iphone built by the largest company around #aapl they broke more records  #impress
-1.0,how is 'never' interpreted as 'ask me again annoyingly soon' when ios apps ask to be rated?  @apple tell your devs never means never
1.0,apple's iphone crushes samsung's galaxy by more than 6 to1 in japan $aapl #aapl 
1.0,"@apple [#apple] #sales soar after launch of #iphone6. (#wednesday, 3 #december) "
0.0,"as apple still struggles to meet iphone 6 demand, canaccord raises price target to $135  $aapl #aapl "
0.0,"@caderageous thx rt .@apple own 2600 digital languages (ip) = new #internet leader,10% of cost of #diy .@googlenexus "
1.0,so got the new #iphone6 and growing to love it. a bit bulky coming from the iphone5 but nice feel thanks @apple now waiting for #applewatch
0.0,rt @jpdesloges: gtat creditors want to question apple's jeff williams $aapl #aapl 
0.0,"sp500 technology bull% index: the apple experiment ?  $spy, $spx, $es_f, $xlk, $aapl #aapl  "
0.0,technical observation of the day: tested the 20 dma on apple $aapl #aapl 
0.0,apple's pt raised by jmp securities to $150.00. outperform rating.  $aapl #aapl
0.0,apple's pt raised by jmp securities to $150.00. outperform rating.  $aapl #aapl
0.0,"in emails, jobs determined to keep ipod apple-only  $aapl #aapl "
0.0,apple intraday comments - pre-opening - premium users  #aapl #stockaction #trading #stocks #mkt 
0.0,@apple working on making next phone drop in the safest way all the time...like a cat 
0.0,#apple's recent pullback a buy opportunity #aapl 
0.0,#apple's eddy cue talks about price-fixing on e-books: he'd 'do it again' #aapl 
0.0,"in a bay area courtroom, lawyers hit replay on @apple history, via @nytimes #antitrust @itunes #ipod  "
-1.0,#stevejobs' emails show how he wanted to smear competitors as ' #hackers' #aapl 
0.0,why even apple is surprised by the enormous demand for the iphone 6 $aapl #aapl 
0.0,apple - fibonacci technicals levels - intraday - pre-opening $aapl #aapl  
-1.0,yo i didnt touch my phone at all and right when i disconnected it from the charger it went down 3% @apple we are gonna scrap right now
0.0,thestreet:  why even #apple is surprised by the enormous demand for the #iphone6. #aapl 
0.0,steve jobs' snarky testimony takes center stage in ipod class-action lawsuit opening  #aapl
0.0,#jimcramer you used the same logic to explain #tol earnings during the paek in housing..its a retailer..#aapl just like #amzn  not tech.
1.0,rt @consumerfeed: apple's pt raised by jmp securities to $150.00. outperform rating.  $aapl #aapl
0.0,block trade detected in #aapl
0.0,#iphone6s rumors point to a curiousåêearly 2015 release - forbes #aapl 
0.0,apple intraday comments - updated range - premium users  #aapl #stockaction #trading #stocks #mkt 
1.0,go apple! looks like a little squeeze again :) #aapl $stocks
0.0,is apple fairly valued at $115? #aapl #ios #applewatch #applepay #apple #iphone6 #iphone6plus #stocks #finance #stocks #trading #samsung
0.0,@apple #iphones of the future could save themselves when you drop them 
0.0,butterfingers and @apple do mix: @#applinsider: patents active fall protection system that shifts iphones in midair 
0.0,#applepay partner #stripe valued at $3.5 billion in funding #aapl 
0.0,apple - fibonacci technicals levels - intraday  update - $aapl #aapl  
0.0,rt @jpdesloges: apple - fibonacci technicals levels - intraday  update - $aapl #aapl  
-1.0,"my 17' macbook pro boots with pink vertical stripes, a gray screen, then shutting down and repeating...help @apple "
0.0,@jakeflem @apple what year is it?
0.0,apple - fibonacci technicals levels - intraday  update - $aapl #aapl  
0.0,@jakeflem @apple try booting while holding command r and see if you can do a disk repair
-1.0,gosh darnit @apple i dont know what the cloud is
0.0,#aapl:apple's eddy cue talks about price-fixing on e-books: he'd 'do it agai...
0.0,"@jakeflem @apple i had to get my logic board completely replaced, if it's under warranty they'll do it for free - make sure to back up b4"
0.0,"big spending by consumers on cyber monday  #cybermonday, #paypal, #apple, #aapl, #ebay, #walmart, #wmt, #sales,... "
0.0,"allowing @apple final creative authority, @chase will debut the first spot featuring #applepay this week. "
0.0,"apple ceo tim cook talks technology with senator orrin hatch during washington, d.c. trip  #aapl"
-1.0,@jakeflem @apple we've previously had to deal with this issue it's really annoying. try to reset the nvram 
-1.0,tell ur update to stop capitalizing everything @apple
-1.0,@sscomposer @apple seems to ignore any key presses like command r and is just doing its own thing.
0.0,#aapl now moves a point faster the a new york driver changes lanes.
-1.0,@briannaurie @apple their autocorrect is so shit too
-1.0,"@jakeflem @apple but it won't fix the problem for good, could back and you might have to change the logic board, check with  apple genius :("
1.0,"#kantar: @apple [#apple] on track for 'record quarter' as #iphone6 sales bump up its .... (#wednesday, 3 #december) "
-1.0,@saifbins3eed @apple get the cloud to butt extension on your web browser
0.0,apple - fibonacci technicals levels - intraday  update - $aapl #aapl  
-1.0, #yotaphone2 is the future of cell phones. @apple and @samsung should be scared.
1.0,cnbctv:  #cramer: #apple has no real competition #aapl 
-1.0,cnbctv:  #chromecast beats #appletv #aapl 
0.0,"apple intraday comments - updated range , - premium users  #aapl #stockaction #trading #stocks #mkt "
0.0,@umo_games @apple thanks for the tip! seemed to do something but still pretty much the same. :(
-1.0,@jokigenki @apple i think it's like 2011? can't look right now.
0.0,"trademark confusion: apple's app store trademark was rejected in australia, approved in europe  canada  $aapl #aapl "
-1.0,"lowkey, yosemite trash af i cant use my logic express 9 anymore @apple yall irritating the fuck outta me - sincerely a disgruntled person"
0.0,@jimcramer tks for setting the record straight for @apple investors!!!
-1.0,@jakeflem @apple yes it seems to fix it good the first time and then as time passes it deterioates until you have to change logic board
1.0,@jakeflem @apple  sorry that you're going through that hope you get this fix it was a real pain for us too  but apple care cover it for free
0.0,@alzaabi741 @apple i wish i could man.. i wish i could..
-1.0,they gotta do something '@_irapecouches: @sydneya @apple so trash my computer keeps freezing &amp; being dumb af after i upgraded to yosemite
-1.0,@_lanacarine_ @apple doesn't have a twitter @applebees this is your problem now
0.0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: 
-1.0,@umo_games @apple yeah no applecare here haha.
0.0,transpartent resin infused #composite structures by @apple 
1.0,huge iphone 6 sales push ios market share up worldwide: report $aapl #aapl 
0.0,apple - fibonacci technicals levels - intraday  update - $aapl #aapl  
0.0,anti-trust expert peter carstensen of @wisconsinlaw can discuss @apple #antitrust case in california federal court 
1.0,"taking apple's lead, amazon gets physical - news - harvard business school  @hbs @apple"
0.0,rumors surface for #apple #iphone6s and #iphone7 in 2015 #aapl 
0.0,@apple s new patent against broken screens   @techcrunch #tech #iphone #business #innovation 
-1.0,steve job's deposition in #ipod lawsuit could cost @apple $1 billion  #musicbiz #musicindustry #apple
0.0,@apple s new patent against broken screens   @techcrunch #tech #iphone #business #innovation
1.0,7 awesome paid #iphone and #ipad apps that are free for a limited time via @bgr #aapl 
0.0,@wdtuts @baxleyglass does because one belongs to @apple and the other to @ang and the third is from @adobe via #employeediscount.
0.0,"#verrì_cktes #gerì_cht: #iphone6s zum @apple [#apple] watch. (#wednesday, 3 #december) "
-1.0,did anyone update their yosemite? my macbook is running like shit. @apple #apple
0.0,rt @hypebot: steve job's deposition in #ipod lawsuit could cost @apple $1 billion  #musicbiz #musicindustry #apple
1.0,"kantar: iphone 6 helps apple gain share over android, iphone 5c outselling iphone 6 plus in us $aapl #aapl "
-1.0,"@jakeflem @apple that sucks, don't know what it cost in dollars but for us that was å£400 :("
0.0,#google #chromecast surpasses #apple tv in u.s. sales  #aapl #amazon #amazonfiretv #amzn #appletv
0.0,rt @kirkyuhnke: what do you think? want an @apple #watch? 
0.0,"@jakeflem @apple take it in. that's a faulty graphics card which was recalled. had exact prob, they replaced mine (for free) out of warranty"
0.0,macbook pro 13   non-retina first startup:  via @youtube @apple #macbook #macbookpro #startup #hipster
0.0,macbook pro 13in unboxing:  via @youtube @apple #macbook #macbookpro #startup #hipster #unboxing
0.0,ipad mini unboxing!:  via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unboxing
0.0,ipad mini first time startup!:  via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unbox
0.0,.@apple patents new reflex drop technology for #mobile devices|learn how this could come in handy #mobiledose 
-1.0,"@sethlouey @apple ios updates bricked trish's phone too, seems like the apple is getting a bit rotten"
0.0,update: #intel #intc led group said to back plan that would limit #qualcomm #qcom licensing fees #aapl #hpq  
1.0,what's at the core of @apple's new #ios7? excellent updates for your phone's #mobilesecurity. #mcafee - 
0.0,@jakeflem @apple some info for you:    hope it helps. #pinkscreenofdeath
0.0,fbi investigates ipad school programme $aapl #aapl 
0.0,apple - fibonacci technicals levels - intraday  update - $aapl #aapl  
0.0,hoping @firefox does not cave! @apple should allow other browser engines! #openup could soon come to ios techcrunch  
0.0,#aapl:5 companies growing faster than apple...//rss.cnn.com/~r/rss/money_latest/~3/n1ps4cmqwl4/index.html
0.0,@buzz i sit home every friday night waiting for an invitation to join an @apple dev team.  (looks at his phone)   they'll call me one day.
0.0,why isn't there a dreidel emoji @apple
0.0,bluetooth 4.2 to bring direct internet connectivity and increased speed  #aapl
-1.0,"guys at @apple, is this serious? #yosemite full of stupid and ugly bugs. feeling #sad. (cc @tim_cook,@therealjonyive) "
1.0,#iphone6 #plus grabs 41% of u.s. #phablet sales #aapl 
0.0,it's important that apple not become the developer for the world. we need people to invent their own stuff.' - tim cook ceo of @apple
-1.0,can't believe @apple said melted keys on mac pro is not under warranty for a machine less than a year old. asking for å£500 to repair.
0.0,huge iphone 6 sales put apple on course for record quarter $aapl #aapl 
0.0,block trade detected in #aapl
0.0,cnbctv:  #apple takes the stand #aapl 
0.0,"check out @mercedes benz for @apple #ipad 2 &amp; 3 tan leather case 9' device, beige. #mercedesbenz  via @ebay"
-1.0,hey @apple are you even thinking about fixing your wifi issues? #yosemiteproblems
0.0,@gregburke85 just wait until @apple inquisition feels like @apple origins...
0.0,"@ggheorghiu, @mhmcquiston's solution is offering an integration suite, something like @apple's approach"
-1.0,.@samsungtweets adds some heavyhitting #digitalhealth partners to rival @apple via @mobihealthnews 
-1.0,"if you listen to @apple, you'd think the only way to keep your brain sharp is thru certain apps they provide/sell. uh...reading, muhfugs"
1.0,"the customer service from @apple  is the best. in for years having and enjoying their products, i have zero complains. thanks #apple"
0.0,#new #foldable #macbook #pro falling on your laptop creates @apple s latest innovation 
-1.0,// when i have gone through 6 iphone chargers in the past montht hank s @apple
-1.0,rt @hypebot: steve job's deposition in #ipod lawsuit could cost @apple $1 billion  #musicbiz #musicindustry #apple
0.0,in the trickle of information @apple has released on healthkit @vincekuraitis note 'going braid' strategy #hcub2014 
0.0,pegraton may gain orders for 50% of the 2015 4.7' iphone 6s $aapl #aapl 
0.0,rt @hamzeianalytics: block trade detected in #aapl
0.0,apple - fibonacci technicals levels - intraday  update - $aapl #aapl  
1.0,@umo_games @apple thanks for the info. genius was able to get the computer booted by forcing the discreet video card on boot
0.0,rt @drycomposites: transpartent resin infused #composite structures by @apple 
-1.0,every new iphone or update spellcheck suppress my greatness more and more...stop trying to tell me what to type @apple!!!
-1.0,you know why mac users were so happy to get turdbolt? because @apple eschewed esata since its inception. nut kicks to dead steve.
0.0,.@apple ceo @tim_cook visits @whitehouse  by @jmhattem
0.0,los angeles unified school district reportedly suspends ipad purchases following fbi raid $aapl #aapl 
-1.0,"more expensive @apple products failing after less than 18 months.  no warranty, no recourse. why is it we buy this junk again?"
0.0,"@thehill @apple @tim_cook @whitehouse @jmhattem obviously part of the left's multi-talented, super-successful gays in business agenda."
0.0,matthew neville @apple on the shifting role of #customs compliance at global #customs compliance forum  #trade
0.0,rt @thehill: .@apple ceo @tim_cook visits @whitehouse  by @jmhattem
0.0,rt @thehill: .@apple ceo @tim_cook visits @whitehouse  by @jmhattem
0.0,rt @thehill: .@apple ceo @tim_cook visits @whitehouse  by @jmhattem
0.0,"photo: cafì© mac @apple: check, shady groove @google: check. for not being a techie, i seem to frequent... "
0.0,rt @thehill: .@apple ceo @tim_cook visits @whitehouse  by @jmhattem
1.0,got to hear about the new patent by apple ... and that's a quite innovative idea.... @apple.  the mobile screen will never break in future
1.0,@jakeflem @apple yeay! glad it all worked out for you :)
0.0,apple price-target rises to $140  #apple #aapl
-1.0,@apple pls let me know when yr sorti out problems wi ipadmini its freezing slow 
0.0,loved the discussion about @prcelines come back. @hblodget called it second to @apple turnaround #bi_ignition2014
0.0,the oddly uplifting story of the apple co-founder who sold his stake for $800  $aapl #aapl 
0.0,@umo_games @apple ended up getting a new computer anyhow (work computer) here's how you can switch between vid cards 
-1.0,whoever downgrades from a iphone 6 to a 5s obviously doesn't understand the extra 20% battery life. every morning my 5s is dead. @apple
-1.0,@shagale @apple why'd you do this to us?!
0.0,"if @apple made tape dispensers and staplers, i would be all set! "
0.0,@apple granted patent for tech that shifts iphone's center-mass during fall to prevent damage to screen  #uspto
-1.0,@headxcreeps @apple fuck you apple
0.0,@bonerforesst @headxcreeps @apple bought this maybe two weeks ago and it's already started lol. 
0.0,.@google trumps @apple in streaming media sales  @mp_gavin
0.0,.@google trumps @apple in streaming media sales 
-1.0,this new phone sucks i can't make it stand up or on its side i can't wait for the iphone 7 @apple fix this you dingles
-1.0,idk if it's my phone or what ! ip6 ain't shit but problems. @apple fix this shit !!
-1.0,"the iphone 6 may have a longer upgrade cycle - if so, expect unit sales to fall $aapl #aapl "
0.0,rt @thehill: .@apple ceo @tim_cook visits @whitehouse  by @jmhattem
-1.0,waiting a week for a duns number is preventing me from being able to build and release a client's ios app. @apple why do you hate me so?
0.0,pegatron may handle more than half of 'iphone 6s' orders in 2015 [ios blog]  #aapl
-1.0,"last month ip cable this month earpiece, give me a break @apple"
0.0,is it time to buy the dip in apple inc. stock?  #aapl
-1.0,"more evidence that apple, inc. needs to refresh apple tv  #aapl"
-1.0,@apple sometimes i have to restart my phone to make siri do speak selection and it's annoying #fixit
0.0,@apple is always the '#talk of the #town'. #crescentgate
-1.0,#aapl:apple back in court with $1 billion on the line...
0.0,not sure if i want the 6 or the 6 plus @apple #iphone6 #iphone6plus #iphone  
1.0,"companies i admire : @3qdigital @vaynermedia @apple. it must rocks to work there, because mainly of their boss and their culture."
0.0,is it time to buy the dip in apple inc. stock? $aapl #aapl 
0.0,is it time to buy the dip in #apple inc. stock? | the motley fool #aapl 
0.0,"more evidence that #apple, inc. needs to refresh #appletv | the motley fool #aapl "
1.0,dear @apple karen wins for best customer service ever. she waited on hold for 12 minutes to help me while i waited on hold w/ my bank
1.0,@abillaut @vaynermedia @apple thanks so much!
0.0,"why isn't there a vomiting emoji yet, @apple "
0.0,@cyrus_t_virus @apple good god lmao. burn daytona to the ground
-1.0,julian robertson still bullish on apple inc.  #aapl
0.0,#new #foldable #macbook #pro falling on your laptop creates @apple s lateståêinnovation 
1.0,"apple's iphone gained significant share in the us, japan, germany and great britain  via @forbes #aapl #iphone6"
0.0,"@apple @tim_cook question, will passbook ever do anything?"
-1.0,why did @apple send me a new computer today and it is broken... #whyamihavingtomakegeniusbarappointmentsalready
-1.0,"ok, utterly rediculous! takes 2 hrs to do a simple thing like syncing a ringtone? itunes accessability is horific! again! rediculous! @apple"
0.0,a lawsuit asks whether #apple used #itunes for price-fixing #aapl 
0.0,"apple hints at work on vr gaming &amp; user interfaces for future products, oculus and leap experts wanted $aapl #aapl "
-1.0,rt @saifbins3eed: this new phone sucks i can't make it stand up or on its side i can't wait for the iphone 7 @apple fix this you dingles
1.0,goodbye graphics problems. thank you @apple for such great customer service. 
1.0,goodbye graphics problems. thank you @apple for such great customer service. 
1.0,#apple dominates mobile online shopping at 78 percent in us #aapl 
0.0,#jobs said #apple took pains to protect record contracts #stevejobs #aapl 
-1.0,hey @apple i think u need a new product: ipster
0.0,rt @ppropp: our buddies @arccosgolf are at eye level in the @apple store #startups @ctnext @stamfordicenter #nice 
0.0,@whereiscooldude @apple i kind of thought that before hand
0.0,all in the wrist: devs embrace future of apple watch apps $aapl #aapl 
0.0,apple - fibonacci technicals levels - intraday  update - $aapl #aapl  
-1.0,@bestbuysupport now i'm being told because it was an @apple product the price can't be overrided. must pay full price then call back for an
0.0,"rt @cyrus_t_virus: why isn't there a vomiting emoji yet, @apple "
0.0,rt @jpdesloges: apple - fibonacci technicals levels - intraday  update - $aapl #aapl  
-1.0,my phone died on 23% @apple what the fuck is this
0.0,"#aapl:apple's iphone gained significant share in the us, japan, germany and ..."
1.0,i just got my powerbeats2 back from repair. shoutout to @apple x @beatsbydre
1.0,@sashametro @mayhembcn @apple happy to help..if u use kind words :). using apple process is free and fast.  dm with ?
0.0,why apple failed to make sapphire iphones $aapl #aapl 
-1.0,"note to @apple, mail still has trouble sending.  the last update didn't fix it.  mail that doesn't send?  not so useful."
1.0,@jakeflem @apple good we got a new shiny macs too so we will keep this handy!
-1.0,"fucking goddamn stupid @apple @itunes , ur too fucked up! #justsayin #itunes"
0.0,rt @evilhag_: why isn't there a dreidel emoji @apple
-1.0,my phone dropped and this happened?? @apple you wanna help me out 
0.0,@chayiltrading #chartoftheday apple #aapl 
0.0,"dear @amazon, if @apple could do it, you can too! "
1.0,"apple's iphone gained significant share in the us, japan, germany and great britain $aapl #aapl "
-1.0,rt @coltonobrian: my phone died on 23% @apple what the fuck is this
-1.0,activation of airdrop on ios 8.1.1 kills wifi !! what have you done @apple ???
0.0,@gregburke85 @apple i can't wait for your technology analysis firm to go public with the stock symbol $rong
0.0,jimmy iovine to apple: 'you have a hole in music right now; let me plug it'  #aapl
0.0,how to use #ios8 continuity | know your mobile  #aapl
-1.0,@apple  #ios8 #iphone6 #issues device with voicemail. 4 the phone being a phone it seems under developed. ie:listen message and take a note!
1.0,apple's iphone 6 plus amazingly captures 41% of the phablet market right out of the gate $aapl #aapl 
0.0,bloombergtv:  #ipod trial: consumers had other mp3 options: gauna  via @bloombergtv #aapl
0.0,check out your local @apple store &amp; pick up our smart thermometer this #flu season   #apple 
1.0,the iphone 6 plus will be huge in china this spring $aapl #aapl 
0.0,rt @jpdesloges: the iphone 6 plus will be huge in china this spring $aapl #aapl 
0.0,apple - fibonacci technicals levels - last  intraday  update - $aapl #aapl  
0.0,rt @jpdesloges: apple - fibonacci technicals levels - last  intraday  update - $aapl #aapl  
0.0,srsly - get it rt @kinsa check out your local @apple store &amp; pick up our smart thermometer this #flu season    #apple
0.0,@appstore @apple when is the release for the new #infiniteflight update in the appstore? @flyingdevstudio says the update is in your hands
-1.0,@googlenexus support said can't test nfc so can't assume my phone is not working. keep saying can't does help. i'll go back to @apple.
-1.0,.@tim_cook that rage when dealing @apple geniuses when they maintain 'it's not a known issue' when a simple google search shows it's a big 1
0.0,cnbc tv:  day 2: #apple antitrust trial  #aapl
1.0,barclays raises aapl price target by 17% to $140 $aapl #aapl 
-1.0,@apple help! my mac memory has been cleared and now it's asking for a password? it's not the old one and i can't get on it!
0.0,steve jobs: 'i don't know what the claims in the case are' $aapl #aapl 
0.0,@redxpower @christmascount yeah and don't make them into tablets @apple
-1.0,@redxpower @christmascount @apple apples are meant to be healthy
-1.0,@redxpower @christmascount @apple but these phones make people fat lol
0.0,block trade detected in #aapl
0.0,"apple:dec 3 trading daily profit $1.85/sh, weekly profits of $15.22/sh  #aapl #stockaction #trading #stocks #mkt   "
0.0,rt @thehill: justice department cites 18th century federal law to get @apple to unlock iphones: 
-1.0,#siri never understands me. she just said she was 'new 2 my language' and didn't get me. i speak english without major accent. #apple @apple
-1.0,block trade detected in #aapl
0.0,rt @hamzeianalytics: block trade detected in #aapl
1.0,thanks @lausd @apple and @pearson for the great leadership.federal grand jury subpoenaed documents from l.a. unified 
0.0,#google may be the big winner in lausd's #ipad scandal  via @bw #aapl
-1.0,"@bedbathbeyond you're selling this lightning cord, doesn't work. #accessorymaynotbesupported @apple what's the deal? "
0.0,"apple, google, amazon und facebook #aapl #dax "
1.0,"my @apple badge finally works at my work site, just tore the guest sticker badge into many, many pieces ... feel like a new man!"
-1.0,@bedbathbeyond i could of just gone to canal street for a knockoff #cmonman and @apple why must i pay $30 for a lightning cord?
0.0,please make a gold macbook @apple
0.0,#aapl:a lawsuit asks whether apple used itunes for price-fixing...
-1.0,another lawsuit against @apple - this one is about #ipod antitrust tactics in #itunes 
-1.0,@apple to pay $24 million for infringing on ancient pager #patents  sure...why not. #intellectualproperty #ip #pgsip
0.0,"early movers: anf, tjx, tgt, lyv, sne, #aapl &amp; more: these are the stocks posting the largest moves before the bell. "
-1.0,@apple why can't i fnd netbot on app store !? help asap
0.0,new details on @apple's giant-sized #ipad might have just leaked  via @inc
0.0,"apple inc. price at close, december 03, 2014, is 115.95. #apple #aapl"
-1.0,wow. yall needa step it up @apple rt @heynyla: music and snapchat at the same damn time. thank you #note4
-1.0,you should be able to leave facetime video messages @apple
0.0,#aapl:did carl icahn cause the private equity bubble?...
-1.0,@sampepper can not believe that @apple are still with you given the nature of what u have been accused of.   disgusting.
-1.0,why can't i hide the gray controller on the dvd player? what heck? @apple 
0.0,i'm learning all about apple ipad air 2 128gb wi-fi - gold on @influenster! @apple
-1.0,"@pdbogen yeah, it's not for everyone. i sold my soul to @apple a while ago. thanks for the link!"
-1.0,@whereiscooldude @cyrus_t_virus @apple wait no im okay here but yeah actually we should burn it down
0.0,here's how jimmy iovine convinced #apple to buy #beats #aapl  
0.0,13 things you didn't know your #iphone6 could do #aapl  
0.0,the questions every #cio should ask about @apple #iwatch: 
-1.0,@apple @verizon where the fuck is my phone it shouldn't take this long.
0.0,a new role requires new hardware! #thankful @carpages @apple  
0.0,"#aapl:apple devices clobber androids on cyber monday, but the underdog is ca..."
0.0,'#howto import objective-c code into bridging header file - @apigee sdk for @apple's swift  
0.0,apple ceo tim cook comes out as gay @apple     via @posh360_net
1.0,great piece from @howardlake on @apple &amp; the new #red #app store - profits from exclusive content go to @globalfund: 
-1.0,@limfestival lolol. stupid phone. should say best and most varied. @apple sort this phone out. apols.
-1.0,"shockingly, imessage on the desktop is fucked up again. great work, @apple. seriously, on point with network services as only you can do."
1.0,"@technical_chart ust sayin', #aapl is still the king...."
0.0,my office for today #remotesupport #techlife @apple 
0.0,@forbestech #aapl was a fantastic investment...but what will be its future?  how will aapl beat aapl?
-1.0,@apple - what if i don't want my money going to africa to fight aids?  we have problems here we need to fight.  #apple #africa @cnn #cnn
0.0,"early movers: anf, tjx, tgt, lyv, #aapl &amp; more: these are the stocks posting the largest moves before the bell. "
0.0,@apple update twitter for ipad pls or kys
0.0,"#hshdsh via @blogs4bytes - #ideas @apple bought, borrowed, and stole #infographic "
0.0,"apple releases safari 8.0.1, 7.1.1, and 6.2.1  #aapl"
0.0,feed my ego (futter mein ego) iphone 4/4s tough ca  computing &amp; communication  melasdesign  @cafepress @iphone @apple
-1.0,my laptop battery went straight from 60% to 3% @apple
-1.0,"last yeari bought 'superman' and 'superman returns' from @itunes, now they aren't available for me to stream, and @apple has no real answer."
-1.0,i will definitely think carefully in the future about buying something from @itunes if @apple support can't even tell me what's going wrong.
0.0,rt @mediapost: .@google trumps @apple in streaming media sales  @mp_gavin
0.0,iphone 6 and 6 plus shipping times improve to 3 to 5 days for many models  #aapl
0.0,here's #apple's next great business  via @sai #aapl
0.0,is #apple the most important stock on earth? - apple inc. #aapl | seeking alpha 
0.0,aye shoot me a space grey 64gb iphone 6 right quick @apple @verizon
0.0,rt @dmcgroarty: rt @metalbanker - where do #iphones come from? what's in your @apple  #rareearths 
0.0,"#aapl:dexcom ceo terry gregg explains 50% ytd stock leap, plans for 2015..."
0.0,#aapl:here's apple's next great business...
0.0,is apple the most important stock on earth?  #aapl
-1.0,this 16gb is going to kill me. im this close to taking a shit on my phone @iphone @apple
0.0,pathetic @apple display at @bestbuy: 
0.0,get 'techy' with another shout out to @schoology @googledrive @huluplus #ipad @apple @google #chromebook  via @youtube
